S&P/ASX 200 Index (1 March 2019),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
GPT,GPT Group FP Ordinary/Units Stapled Securities,Real Estate,"10,558,600,000",0.59,,,
GNC,Graincorp Limited Class A,Consumer Staples,"2,231,340,000",0.13,,,
GOZ,Growthpoint Property FP Ordinary/Units Stapled Securities,Real Estate,"2,947,380,000",0.17,,,
GWA,GWA Group Limited,Industrials,"818,238,000",0.05,,,
HVN,Harvey Norman,Consumer Discretionary,"4,247,050,000",0.24,,,
HLS,Healius,Health Care,"1,730,060,000",0.1,,,
HSO,Healthscope Limited,Health Care,"4,335,490,000",0.24,,,
IEL,Idp Education Limited,Consumer Discretionary,"3,791,230,000",0.21,,,
ILU,Iluka Resources,Materials,"3,873,370,000",0.22,,,
IPL,Incitec Pivot,Materials,"5,411,490,000",0.3,,,
IGO,Independence Group,Materials,"2,881,530,000",0.16,,,
IFN,Infigen Energy FP Ordinary/Units Stapled Securities,Utilities,"473,498,000",0.03,,,
ING,Inghams Group,Consumer Staples,"1,536,180,000",0.09,,,
IAG,Insurance Australia,Financials,"16,986,200,000",0.96,,,
IVC,Invocare Limited,Consumer Discretionary,"1,649,440,000",0.09,,,
IFL,IOOF Holdings Limited,Financials,"2,310,080,000",0.13,,,
IPH,IPH Limited,Industrials,"1,195,890,000",0.07,,,
IRE,Iress Limited,Information Technology,"2,079,000,000",0.12,,,
JHG,Janus Henderson Chess Depositary Interests 1:1,Financials,"2,134,330,000",0.12,,,
JBH,JB Hi-Fi Limited,Consumer Discretionary,"2,492,970,000",0.14,,,
A2M,The a2 Milk Company,Consumer Staples,"10,098,900,000",0.57,,,
JHX,James Hardie Indust Chess Depositary Interests 1:1,Materials,"7,801,540,000",0.44,,,
LLC,Lendlease Group FP Ordinary/Units Stapled Securities,Real Estate,"7,262,420,000",0.41,,,
LNK,Link Admin HLDG,Information Technology,"4,044,590,000",0.23,,,
LYC,Lynas Corporation,Materials,"1,171,600,000",0.07,,,
MFG,Magellan Fin Group Limited,Financials,"6,173,270,000",0.35,,,
MGR,Mirvac Group FP Ordinary/Units Stapled Securities,Real Estate,"9,401,550,000",0.53,,,
MIN,Mineral Resources,Materials,"2,828,920,000",0.16,,,
MMS,Mcmillan Shakespeare,Industrials,"1,008,440,000",0.06,,,
MND,Monadelphous Group,Industrials,"1,678,460,000",0.09,,,
MPL,Medibank Private Limited,Financials,"7,821,370,000",0.44,,,
MQG,Macquarie Group Limited,Financials,"43,786,800,000",2.47,,,
MTS,Metcash Limited,Consumer Staples,"2,373,160,000",0.13,,,
MYO,Myob Group Limited,Information Technology,"2,014,640,000",0.11,,,
MYX,Mayne Pharma Limited,Health Care,"1,108,060,000",0.06,,,
NAB,National Aust. Bank,Financials,"69,797,300,000",3.93,,,
NAN,Nanosonics Limited,Health Care,"1,244,520,000",0.07,,,
NCM,Newcrest Mining,Materials,"18,683,900,000",1.05,,,
NEC,Nine Entertainment,Consumer Discretionary,"2,907,700,000",0.16,,,
NHC,New Hope Corporation,Energy,"3,491,320,000",0.2,,,
NHF,Nib Holdings Limited,Financials,"2,628,530,000",0.15,,,
NSR,National Storage FP Ordinary/Units Stapled Securities,Real Estate,"1,176,540,000",0.07,,,
NST,Northern Star,Materials,"5,914,960,000",0.33,,,
NUF,Nufarm Limited,Materials,"1,989,310,000",0.11,,,
NVT,Navitas Limited,Consumer Discretionary,"2,020,540,000",0.11,,,
NWS,News Corp Class B Voting Common Stock-Cdi 1:1,Consumer Discretionary,"1,003,710,000",0.06,,,
NXT,NEXTDC Limited,Information Technology,"2,144,410,000",0.12,,,
OML,Ooh!Media Limited,Consumer Discretionary,"840,075,000",0.05,,,
ORA,Orora Limited,Materials,"3,801,060,000",0.21,,,
ORE,Orocobre Limited,Materials,"1,004,290,000",0.06,,,
ORG,Origin Energy,Energy,"12,949,500,000",0.73,,,
ORI,Orica Limited,Materials,"6,705,960,000",0.38,,,
OSH,Oil Search Limited 10 Toea,Energy,"12,752,800,000",0.72,,,
OZL,OZ Minerals,Materials,"3,335,910,000",0.19,,,
PDL,Pendal Group Limited,Financials,"2,728,500,000",0.15,,,
PGH,Pact Group Holdings Limited,Materials,"1,001,020,000",0.06,,,
PLS,Pilbara Min Limited,Materials,"1,299,660,000",0.07,,,
PMV,Premier Investments,Consumer Discretionary,"2,600,550,000",0.15,,,
PPT,Perpetual Limited,Financials,"1,913,740,000",0.11,,,
PTM,Platinum Asset,Financials,"3,238,470,000",0.18,,,
QAN,Qantas Airways,Industrials,"9,314,970,000",0.52,,,
QBE,QBE Insurance Group,Financials,"16,409,200,000",0.92,,,
QUB,QUBE Holdings Limited,Industrials,"4,463,420,000",0.25,,,
REA,REA Group,Information Technology,"10,740,000,000",0.6,,,
RHC,Ramsay Health Care,Health Care,"13,090,800,000",0.74,,,
RIO,RIO Tinto Limited,Materials,"35,696,200,000",2.01,,,
RMD,Resmed Inc Cdi 10:1 Foreign Exempt NYSE,Health Care,"5,723,900,000",0.32,,,
RRL,Regis Resources,Materials,"2,711,520,000",0.15,,,
RSG,Resolute Mining,Materials,"833,904,000",0.05,,,
RWC,Reliance Worldwide,Industrials,"3,563,330,000",0.2,,,
S32,SOUTH32 Limited,Materials,"19,751,200,000",1.11,,,
SAR,Saracen Mineral,Materials,"2,124,500,000",0.12,,,
SBM,ST Barbara Limited,Materials,"2,343,580,000",0.13,,,
SCG,Scentre Group FP Ordinary/Units Stapled Securities,Real Estate,"20,576,800,000",1.16,,,
SCP,Sca Property Group FP Units Stapled Securities,Real Estate,"2,230,650,000",0.13,,,
SDA,Speedcast Int Limited,Telecommunication Services,"928,975,000",0.05,,,
SDF,Steadfast Group Limited,Financials,"2,474,270,000",0.14,,,
SEK,Seek Limited,Industrials,"6,467,920,000",0.36,,,
SFR,Sandfire Resources,Materials,"1,167,970,000",0.07,,,
SGM,Sims Metal MGMT Limited,Materials,"2,298,850,000",0.13,,,
SGP,Stockland FP Ordinary/Units Stapled Securities,Real Estate,"8,418,330,000",0.47,,,
SGR,The Star Ent Group,Consumer Discretionary,"4,063,740,000",0.23,,,
